Abbey Lane     EH8 8HH
Mains Of Craigmillar     EH16 4SE
Malbet Park     EH16 6SY
Malbet Wynd     EH16 6AB
Malta Green     EH4 1RQ
Malta Terrace     EH4 1HR
Manderston Street     EH6 8LY
Mannering Place     EH16 6BP
Manor Place     EH3 7DD
Manse Road     EH12 7SN
Manse Street     EH12 7TR
Mansfield Place     EH3 6BB
Mansion Lane     EH16 6FE
Mansionhouse Road     EH9 1TZ
Maplewood Park     EH12 8WU
March Gait     EH4 3RX
March Grove     EH4 3TE
March Pines     EH4 3PF
March Road     EH4 3PR
Marchfield Grove     EH4 5BN
Marchfield Park     EH4 5BW
Marchfield Park Lane     EH4 5BF
Marchfield Terrace     EH4 7AE
Marchhall Crescent     EH16 5HL
Marchhall Place     EH16 5HW
Marchhall Road     EH16 5HR
Marchmont Crescent     EH9 1HD
Marchmont Road     EH9 1AQ
Marchmont Street     EH9 1EJ
Mardale Crescent     EH10 5AG
Margaret Rose Avenue     EH10 7EG
Margaret Rose Crescent     EH10 7EZ
Margaret Rose Drive     EH10 7ER
Margaret Rose Loan     EH10 7EQ
Margaret Rose Walk     EH10 7EY
Margaret Rose Way     EH10 7EP
Marine Drive     EH4 5EJ
Marine Esplanade     EH6 7LU
Marionville Avenue     EH7 6AS
Marionville Crescent     EH7 6AU
Marionville Drive     EH7 6BH
Marionville Grove     EH7 6BJ
Marionville Medway     EH7 6AN
Marionville Park     EH7 6AR
Marionville Road     EH7 5TX
Marischal Place     EH4 3NE
Maritime Lane     EH6 6RZ
Maritime Street     EH6 6SA
Market Street     EH1 1BL
Marlborough Street     EH15 2BD
Marmion Crescent     EH16 5QU
Marshall Street     EH8 9BJ
Marshalls Court     EH1 3AL
Maryfield     EH7 5AR
Maryfield Place     EH7 5AU
Marys Place     EH4 1JH
Matthew Street     EH16 4GZ
Maurice Place     EH9 3EP
Max Born Crescent     EH9 3BF
Maxwell Street     EH10 5FT
May Court     EH4 4SD
Maybank Villas     EH12 8BD
Maybury Drive     EH12 8SF
Maybury Road     EH12 8NL
Mayfield Gardens     EH9 2AX
Mayfield Place     EH12 7UZ
Mayfield Road     EH9 2NG
Mayfield Terrace     EH9 1RU
Mayville Gardens     EH5 3DB
Mayville Gardens East     EH5 3DW
McDonald Place     EH7 4NH
McDonald Road     EH7 4GT
McDonald Street     EH7 4QT
McEwan Square     EH3 8EL
McLaren Road     EH9 2BE
McLaren Terrace     EH11 2BN
McLeod Street     EH11 2ND
McNeill Street     EH11 1JN
Meadow Lane     EH8 9NR
Meadow Place     EH9 1JR
Meadow Place Lane     EH9 1LB
Meadow Place Road     EH12 7RY
Meadowbank     EH8 8JE
Meadowbank Avenue     EH8 7AP
Meadowbank Crescent     EH8 7AH
Meadowbank Place     EH8 7AW
Meadowbank Terrace     EH8 7AR
Meadowfield Avenue     EH8 7NH
Meadowfield Court     EH8 7NA
Meadowfield Drive     EH8 7LU
Meadowfield Gardens     EH8 7NS
Meadowfield Terrace     EH8 7NR
Meadowhouse Road     EH12 7HP
Meadowspot     EH10 5UW
Mearenside     EH12 8UQ
Meggetland Square     EH14 1XP
Meggetland Terrace     EH14 1AN
Meggetland View     EH14 1XS
Meggetland Wynd     EH14 1XN
Melgund Terrace     EH7 4BT
Melrose Drive     EH6 4UE
Melville Crescent     EH3 7HW
Melville Place     EH3 7PR
Melville Street     EH3 7HA
Melville Street Lane     EH3 7QB
Melville Terrace     EH9 1LP
Melvin Walk     EH3 8EQ
Mentone Avenue     EH15 1HZ
Mentone Gardens     EH9 2DJ
Mentone Terrace     EH9 2DF
Merchant Street     EH1 2QD
Merchiston Avenue     EH10 4NT
Merchiston Bank Avenue     EH10 5ED
Merchiston Bank Gardens     EH10 5EB
Merchiston Crescent     EH10 5AH
Merchiston Gardens     EH10 5DD
Merchiston Grove     EH11 1PP
Merchiston Mews     EH10 4PE
Merchiston Park     EH10 4PN
Merchiston Place     EH10 4NP
Merlin Avenue     EH5 1FR
Mertoun Place     EH11 1JU
Meuse Lane     EH2 2BZ
Mid Gillsland Road     EH10 5TW
Mid Gogarloch Syke     EH12 9JW
Mid Liberton     EH16 5QT
Mid New Cultins     EH11 4DH
Mid Steil     EH10 5XB
Middleby Street     EH9 1TD
Middlefield     EH7 4PF
Middleknowe     EH14 2TR
Middlepark     EH14 2TN
Middleshot     EH14 2TP
Midmar Avenue     EH10 6BS
Midmar Drive     EH10 6BT
Midmar Gardens     EH10 6DY
Mill Lane     EH6 6TJ
Millar Crescent     EH10 5HH
Millar Place     EH10 5HJ
Millar Place Lane     EH10 5HL
Miller Row     EH4 3BQ
Millerfield Place     EH9 1LW
Milligan Drive     EH16 4WD
Milnacre     EH6 5TD
Milton Crescent     EH15 3PF
Milton Drive     EH15 2JX
Milton Gardens North     EH15 3PE
Milton Gardens South     EH15 3PG
Milton Grove     EH15 2LE
Milton Link     EH15 3QH
Milton Road     EH15 3AZ
Milton Road East     EH15 2HH
Milton Road West     EH15 1GB
Milton Street     EH8 8EZ
Milton Terrace     EH15 2LF
Minto Street     EH9 1RG
Mitchell Street     EH6 7AR
Moat Drive     EH14 1NR
Moat Place     EH14 1NY
Moat Street     EH14 1PE
Moat Terrace     EH14 1PR
Moffat Way     EH16 4NZ
Moira Park     EH7 6RX
Moira Terrace     EH7 6PY
Moira Terrace Lane     EH7 6RP
Moncrieff Terrace     EH9 1LZ
Monkbarns Gardens     EH16 6DG
Monkwood Court     EH9 2DY
Monmouth Terrace     EH3 5QT
Montagu Terrace     EH3 5QR
Montague Street     EH8 9QS
Montgomery Street     EH7 5BH
Montgomery Street Lane     EH7 5JT
Montgomery Street, Brunton Gardens     EH7 5ER
Montpelier     EH10 4LY
Montpelier Park     EH10 4LU
Montpelier Terrace     EH10 4NE
Montrose Terrace     EH7 5DJ
Moray Park     EH7 5TS
Moray Park Terrace     EH7 5TF
Moray Place     EH3 6BQ
Moredun Dell     EH17 7EJ
Moredun Dykes Road     EH17 8FY
Moredun Park Court     EH17 7EY
Moredun Park Drive     EH17 7EP
Moredun Park Gardens     EH17 7JL
Moredun Park Green     EH17 7LS
Moredun Park Grove     EH17 7LZ
Moredun Park Loan     EH17 7HB
Moredun Park Road     EH17 7DG
Moredun Park Street     EH17 7HD
Moredun Park View     EH17 7LR
Moredun Park Way     EH17 7EZ
Moredunvale Bank     EH17 7JU
Moredunvale Green     EH17 7RA
Moredunvale Grove     EH17 7QY
Moredunvale Loan     EH17 7RH
Moredunvale Park     EH17 7JW
Moredunvale Place     EH17 7LA
Moredunvale Road     EH17 7QU
Moredunvale View     EH17 7JS
Moredunvale Way     EH17 7RE
Moreland View     EH12 8NS
Morgan Lane     EH8 8FP
Morham Gait     EH10 5GH
Morham Gardens     EH10 5GG
Morham Lea     EH10 5GL
Morham Park     EH10 5GF
Morningside Court     EH10 5NY
Morningside Drive     EH10 5LY
Morningside Drive, The Crescent     EH10 5NX
Morningside Drive, The North Walk     EH10 5TR
Morningside Gardens     EH10 5LA
Morningside Grove     EH10 5PX
Morningside Park     EH10 5EZ
Morningside Place     EH10 5ER
Morningside Road     EH10 4AX
Morningside Terrace     EH10 5HG
Morrison Circus     EH3 8DW
Morrison Crescent     EH3 8AH
Morrison Street     EH3 8AG
Morrison Street Link     EH3 8DN
Morton Street     EH15 2EN
Mortonhall Gate     EH16 6TJ
Mortonhall Park Avenue     EH17 8BP
Mortonhall Park Bank     EH17 8ST
Mortonhall Park Crescent     EH17 8SX
Mortonhall Park Drive     EH17 8SS
Mortonhall Park Gardens     EH17 8SL
Mortonhall Park Green     EH17 8SP
Mortonhall Park Grove     EH17 8SJ
Mortonhall Park Loan     EH17 8SN
Mortonhall Park Place     EH17 8SZ
Mortonhall Park Terrace     EH17 8SU
Mortonhall Park View     EH17 8SW
Mortonhall Park Way     EH17 8BW
Mortonhall Road     EH9 2HN
Morven Street     EH4 7LG
Morvenside     EH14 2AD
Morvenside Close     EH14 2SH
Mossgiel Walk     EH16 6XE
Moston Terrace     EH9 2DE
Mottram Road     EH4 4UH
Mound Place     EH1 2LU
Mount Alvernia     EH16 6AW
Mount Grange     EH9 2QX
Mount Lodge Place     EH15 2AB
Mount Vernon Road     EH16 6BN
Mountcastle Bank     EH8 7TA
Mountcastle Crescent     EH8 7SB
Mountcastle Drive North     EH15 1NG
Mountcastle Drive South     EH15 1PJ
Mountcastle Gardens     EH8 7SR
Mountcastle Green     EH8 7TD
Mountcastle Grove     EH8 7SN
Mountcastle Loan     EH8 7RB
Mountcastle Park     EH8 7SD
Mountcastle Place     EH8 7TB
Mountcastle Terrace     EH8 7SF
Mounthooly Loan     EH10 7JD
Muirdale Terrace     EH4 3QW
Muirhouse Avenue     EH4 4AE
Muirhouse Avenue North     EH4 4PG
Muirhouse Bank     EH4 4QS
Muirhouse Close     EH4 4RU
Muirhouse Court     EH4 4TX
Muirhouse Crescent     EH4 4QF
Muirhouse Drive     EH4 4TG
Muirhouse Gardens     EH4 4SX
Muirhouse Green     EH4 4QX
Muirhouse Grove     EH4 4SS
Muirhouse Grove, Inchmickery Court     EH4 4SN
Muirhouse Grove, Oxcars Court     EH4 4SP
Muirhouse Loan     EH4 4NZ
Muirhouse Medway     EH4 4RP
Muirhouse Park     EH4 4RJ
Muirhouse Parkway     EH4 5EU
Muirhouse Place East     EH4 4PN
Muirhouse Place West     EH4 4PX
Muirhouse Terrace     EH4 4RG
Muirhouse View     EH4 4SH
Muirhouse Way     EH4 4QB
Multrees Walk     EH1 3DQ
Munro Drive     EH13 0EG
Munro Place     EH3 5LJ
Murano Place     EH7 5HG
Murchie Crescent     EH16 4JX
Murdoch Terrace     EH11 1AY
Murieston Crescent     EH11 2LG
Murieston Crescent Lane     EH11 2ER
Murieston Lane     EH11 2LX
Murieston Place     EH11 2LT
Murieston Road     EH11 2JH
Murieston Terrace     EH11 2LH
Murray Cottages     EH12 7UH
Murrayburn Drive     EH14 2SU
Murrayburn Gardens     EH14 2PA
Murrayburn Gate     EH14 2SS
Murrayburn Green     EH14 2PH
Murrayburn Grove     EH14 2PE
Murrayburn Park     EH14 2PD
Murrayburn Place     EH14 2RP
Murrayburn Road     EH14 2SN
Murrayfield Avenue     EH12 6AU
Murrayfield Drive     EH12 6EB
Murrayfield Gardens     EH12 6DF
Murrayfield Place     EH12 6AA
Murrayfield Road     EH12 6EJ
Myreside Court     EH10 5LX
Myreside Management, Portobello High Street     EH15 2BF
Myreside Road     EH10 5BY
Myreside View     EH14 1AG
Myreton Drive     EH12 9GF
Myrtle Terrace     EH11 1PF
Nantwich Drive     EH7 6QS
Napier Loan     EH10 5BG
Napier Road     EH10 5AY
Napier Road, The Limes     EH10 5DL
Nellfield     EH16 6DX
Nelson Place     EH3 6LH
Nelson Street     EH3 6LF
Nether Bakehouse     EH8 8PE
Nether Craigour     EH17 7SB
Nether Craigwell     EH8 8DR
Nether Lennie     EH12 0AS
Nether Liberton Court     EH16 5UN
Nether Liberton Lane     EH16 5TY
Netherbank     EH16 6YR
Netherbank View     EH16 6YY
Netherby Road     EH5 3LP
New Arthur Place     EH8 9TH
New Belfield     EH8 7PQ
New Bell's Court     EH6 6RY
New Broompark     EH5 1RS
New Broughton     EH3 6PA
New Cut Rigg     EH6 4QR
New Johns Place     EH8 9XH
New Lairdship Place     EH11 3UZ
New Lairdship Yards     EH11 3UY
New Lane     EH6 4JD
New Market Road     EH14 1RJ
New Mart Gardens     EH14 1TZ
New Mart Place     EH14 1RW
New Mart Road     EH14 1RL
New Mart Square     EH14 1TJ
New Orchardfield     EH6 5ES
New Skinner's Close     EH1 1NU
New Street     EH8 8BH
New Swanston     EH10 7JA
New Tower Place     EH15 1TS
Newbattle Terrace     EH10 4RT
Newcraighall Road     EH15 3HH
Newhaven Main Street     EH6 4HY
Newhaven Place     EH6 4TG
Newhaven Road     EH6 4BR
Newhaven Road, Mulberry Place     EH6 4BT
Newington Road     EH9 1QN
Newkirkgate     EH6 6AA
Newlands Park     EH9 2DL
Newtoft Street     EH17 8QX
Newton Street     EH11 1TF
Nicholas Kemmer Road     EH9 3FH
Nichollfield     EH6 4RA
Nicolson Square     EH8 9BH
Nicolson Street     EH8 9BE
Niddrie Farm Grove     EH16 4DX
Niddrie House Avenue     EH16 4UD
Niddrie House Drive     EH16 4LH
Niddrie House Gardens     EH16 4UF
Niddrie House Park     EH16 4TN
Niddrie House Square     EH16 4UP
Niddrie Mains Court     EH16 4RR
Niddrie Mains Drive     EH16 4PX
Niddrie Mains Road     EH15 3HG
Niddrie Mains Terrace     EH16 4GH
Niddrie Marischal Crescent     EH16 4LA
Niddrie Marischal Drive     EH16 4EL
Niddrie Marischal Gardens     EH16 4LX
Niddrie Marischal Green     EH16 4EN
Niddrie Marischal Grove     EH16 4LD
Niddrie Marischal Loan     EH16 4NY
Niddrie Marischal Place     EH16 4LP
Niddrie Marischal Road     EH16 4JY
Niddrie Marischal Street     EH16 4LZ
Niddrie Mill Avenue     EH15 3EL
Niddrie Mill Crescent     EH15 3ES
Niddrie Mill Drive     EH15 3EP
Niddrie Mill Grove     EH15 3HA
Niddrie Mill Place     EH15 3HE
Niddrie Mill Terrace     EH15 3HF
Niddry Street     EH1 1LG
Niddry Street South     EH1 1NS
Nigel Loan     EH16 6BA
Nightingale Way     EH3 9EG
Nile Grove     EH10 4RE
Noble Place     EH6 8AX
Nomis Park     EH1 2SG
North Bank Street     EH1 2LP
North Bridge     EH1 1QG
North Bridge Arcade     EH1 1QL
North Bughtlin Bank     EH12 8XJ
North Bughtlin Brae     EH12 8XH
North Bughtlin Gate     EH12 8XL
North Bughtlin Neuk     EH12 8XG
North Bughtlin Place     EH12 8UP
North Bughtlinfield     EH12 8XZ
North Bughtlinrig     EH12 8XY
North Bughtlinside     EH12 8YA
North Cairntow     EH16 4AX
North Castle Street     EH2 3BG
North Charlotte Street     EH2 4HR
North East Circus Place     EH3 6SP
North East Lane, Cumberland Street     EH3 6SB
North East Lane, William Street     EH3 7NF
North Fort Street     EH6 4EX
North Greens     EH15 3RT
North Gyle Avenue     EH12 8JR
North Gyle Drive     EH12 8JN
North Gyle Farm Court     EH12 8LQ
North Gyle Farm Lane     EH12 8LG
North Gyle Grove     EH12 8JX
North Gyle Loan     EH12 8JH
North Gyle Park     EH12 8LE
North Gyle Road     EH12 8EP
North Gyle Terrace     EH12 8JT
North Hillhousefield     EH6 4HU
North Junction Street     EH6 6HN
North Leith Mill     EH6 6JU
North Leith Sands     EH6 4ER
North Meadow Walk     EH8 9NN
North Meggetland     EH14 1XG
North Park Terrace     EH4 1DP
North Peffer Place     EH16 4UZ
North Pilrig Heights     EH6 5BS
North Richmond Street     EH8 9SY
North St. Andrew Lane     EH2 1HX
North St. Andrew Street     EH2 1HJ
North St. David Street     EH2 1AW
North Werber Park     EH4 1SY
North Werber Place     EH4 1TE
North Werber Road     EH4 1TA
North West Circus Place     EH3 6ST
North West Lane, Cumberland Street     EH3 6RF
North West Lane, William Street     EH3 7LN
Northcote Street     EH11 2HL
Northfield Avenue     EH8 7PR
Northfield Broadway     EH8 7PH
Northfield Circus     EH8 7PY
Northfield Crescent     EH8 7PT
Northfield Drive     EH8 7RF
Northfield Farm Avenue     EH8 7QN
Northfield Farm Road     EH8 7QP
Northfield Gardens     EH8 7QG
Northfield Grove     EH8 7RL
Northfield Heights     EH8 7QJ
Northfield Park     EH8 7QT
Northfield Park Grove     EH8 7RS
Northfield Road     EH8 7PP
Northfield Square     EH8 7PJ
Northfield Terrace     EH8 7PX
Northumberland Place     EH3 6LQ
Northumberland Place Lane     EH3 6LD
Northumberland Street     EH3 6JA
Northumberland Street North East Lane     EH3 6LN
Northumberland Street North West Lane     EH3 6JL
Northumberland Street South East Lane     EH3 6LP
Northumberland Street South West Lane     EH3 6JD
Northview Court     EH4 4HG
Norton Park     EH7 5RS
Nova Scotia Place     EH12 9FU
Oak Lane     EH12 6XH
Oakfield Place     EH8 9TD
Oaklands Square     EH11 3AE
Oakville Terrace     EH6 8DG
Oakwood Court     EH12 8WW
Observatory Green     EH9 3HL
Observatory Road     EH9 3HE
Ocean Drive     EH6 6JB
Ocean Way     EH6 7DG
Ochiltree Gardens     EH16 5SN
Ogilvie Terrace     EH11 1NP
Old Broughton     EH3 6NZ
Old Burdiehouse Road     EH17 8BH
Old Church Lane     EH15 3PX
Old Dalkeith Road     EH16 4SD
Old Farm Avenue     EH13 0QQ
Old Farm Place     EH13 0AZ
Old Infirmary Lane     EH1 1LU
Old Kirk Road     EH12 6JU
Old Mill Lane     EH16 5TZ
Old Pentland Road     EH10 7EB
Old Tolbooth Wynd     EH8 8EQ
Oliphant Lane     EH4 4FY
Orchard Bank     EH4 2DS
Orchard Brae     EH4 1NY
Orchard Brae Avenue     EH4 2GA
Orchard Brae Gardens     EH4 2HH
Orchard Brae Gardens West     EH4 2HL
Orchard Brae West     EH4 2EW
Orchard Crescent     EH4 2EY
Orchard Drive     EH4 2DX
Orchard Grove     EH4 2ER
Orchard Place     EH4 2ET
Orchard Road     EH4 2EP
Orchard Road South     EH4 3EL
Orchard Terrace     EH4 2HA
Orchard Toll     EH4 3JF
Orchardfield Avenue     EH12 7SX
Orchardhead Loan     EH16 6HW
Orchardhead Road     EH16 6HJ
Ormelie Terrace     EH15 2EX
Ormidale Terrace     EH12 6DY
Ormiston Terrace     EH12 7SJ
Orrok Lane     EH16 5HF
Orrok Park     EH16 5UW
Orwell Place     EH11 2AD
Orwell Terrace     EH11 2DT
Osborne Terrace     EH12 5HG
Oswald Court     EH9 2HY
Oswald Road     EH9 2HE
Oswald Terrace     EH12 7TS
Otterburn Park     EH14 1JX
Oxford Street     EH8 9PH
Oxford Terrace     EH4 1PX
Oxgangs Avenue     EH13 9HU
Oxgangs Bank     EH13 9JT
Oxgangs Brae     EH13 9LT
Oxgangs Broadway     EH13 9LQ
Oxgangs Crescent     EH13 9HH
Oxgangs Drive     EH13 9HB
Oxgangs Farm Avenue     EH13 9PU
Oxgangs Farm Drive     EH13 9PR
Oxgangs Farm Gardens     EH13 9QE
Oxgangs Farm Grove     EH13 9PP
Oxgangs Farm Loan     EH13 9QD
Oxgangs Farm Terrace     EH13 9QB
Oxgangs Gardens     EH13 9BE
Oxgangs Green     EH13 9JE
Oxgangs Grove     EH13 9HE
Oxgangs Hill     EH13 9JH
Oxgangs Loan     EH13 9JJ
Oxgangs Medway     EH13 9LP
Oxgangs Park     EH13 9JZ
Oxgangs Path     EH13 9LX
Oxgangs Path East     EH13 9LS
Oxgangs Place     EH13 9BD
Oxgangs Rise     EH13 9LB
Oxgangs Road     EH10 7AU
Oxgangs Road North     EH13 9AA
Oxgangs Row     EH13 9LE
Oxgangs Street     EH13 9JU
Oxgangs Terrace     EH13 9BP
Oxgangs View     EH13 9LR
Packer Place     EH16 4GJ
Paisley Avenue     EH8 7LB
Paisley Crescent     EH8 7JH
Paisley Drive     EH8 7LN
Paisley Gardens     EH8 7JN
Paisley Grove     EH8 7LF
Paisley Terrace     EH8 7JW
Palace Of Holyrood     EH8 8DX
Palmerston Place     EH12 5AA
Palmerston Place Lane     EH12 5AE
Palmerston Road     EH9 1TL
Panmure Place     EH3 9HP
Papermill Wynd     EH7 4GJ
Pape's Cottages     EH12 6AJ
Park Avenue     EH15 1JP
Park Crescent     EH16 6JD
Park Gardens     EH16 6JF
Park Grove     EH16 6JE
Park Place     EH6 4LB
Park Road     EH6 4LA
Parker Avenue     EH7 6SB
Parker Terrace     EH7 6SQ
Parkgrove Avenue     EH4 7QJ
Parkgrove Bank     EH4 7RB
Parkgrove Crescent     EH4 7RA
Parkgrove Drive     EH4 7QF
Parkgrove Gardens     EH4 7QL
Parkgrove Green     EH4 7RQ
Parkgrove Loan     EH4 7QA
Parkgrove Neuk     EH4 7QT
Parkgrove Path     EH4 7PZ
Parkgrove Place     EH4 7NP
Parkgrove Road     EH4 7NE
Parkgrove Row     EH4 7RF
Parkgrove Street     EH4 7NS
Parkgrove Terrace     EH4 7NJ
Parkgrove View     EH4 7QW
Parkhead Avenue     EH11 4RJ
Parkhead Crescent     EH11 4RY
Parkhead Drive     EH11 4RS
Parkhead Gardens     EH11 4RR
Parkhead Grove     EH11 4RZ
Parkhead Loan     EH11 4SJ
Parkhead Place     EH11 4RQ
Parkhead Street     EH11 4RL
Parkhead Terrace     EH11 4RB
Parkhead View     EH11 4RT
Parkside Street     EH8 9RJ
Parkside Terrace     EH16 5BL
Parkvale Place     EH6 8AS
Parliament Square     EH1 1RF
Parliament Street     EH6 6EB
Parrotshot     EH15 3RU
Parsons Green Terrace     EH8 7AF
Paterson Place     EH15 3JN
Paties Road     EH14 1EE
Patriothall     EH3 5AY
Pattison Street     EH6 7HF
Peacock Court     EH6 4HZ
Peacocktail Close     EH15 3QS
Pearce Avenue     EH12 8SW
Pearce Grove     EH12 8SP
Pearce Road     EH12 8ST
Peatville Gardens     EH14 2EF
Peatville Terrace     EH14 2EB
Peebles Terrace     EH4 4UE
Peel Terrace     EH9 2AY
Peffer Bank     EH16 4AW
Peffer Place     EH16 4BB
Peffer Street     EH16 4AZ
Peffermill Road     EH16 4AH
Peggysmill Road     EH4 6JY
Pembroke Place     EH12 5HX
Pennywell Cottages     EH4 4JH
Pennywell Court     EH4 4TZ
Pennywell Gardens     EH4 4PA
Pennywell Grove     EH4 4NT
Pennywell Medway     EH4 4RZ
Pennywell Road     EH4 4FZ
Pennywell Villas     EH4 4JJ
Pentland Avenue     EH13 0HY
Pentland Crescent     EH10 6NP
Pentland Drive     EH10 6PU
Pentland Gardens     EH10 6NN
Pentland Grove     EH10 6NR
Pentland Road     EH13 0JA
Pentland Terrace     EH10 6EY
Pentland View     EH10 6PS
Perdrixknowe     EH14 1AF
Perth Street     EH3 5DP
Peter Guthrie Tait Road     EH9 3FD
Peveril Terrace     EH16 6BZ
Philip Terrace     EH16 6FJ
Picardy Place     EH1 3JT
Pier Place     EH6 4LP
Piersfield Grove     EH8 7BT
Piersfield Place     EH8 7BP
Piersfield Terrace     EH8 7BJ
Piershill Lane     EH8 7EJ
Piershill Place     EH8 7EH
Piershill Square East     EH8 7BD
Piershill Square West     EH8 7AZ
Piershill Terrace     EH8 7ES
Pillans Place     EH6 7LL
Pilrig Cottages     EH6 5DB
Pilrig Gardens     EH6 5AZ
Pilrig Glebe     EH6 5AF
Pilrig Heights     EH6 5AB
Pilrig House Close     EH6 5RF
Pilrig Place     EH6 5AG
Pilrig Street     EH6 5AH
Pilton Avenue     EH5 2BS
Pilton Crescent     EH5 2HT
Pilton Drive     EH5 2HF
Pilton Drive North     EH5 1NF
Pilton Gardens     EH5 2HY
Pilton Loan     EH5 2EY
Pilton Park     EH5 2HZ
Pilton Place     EH5 2EU
Pinegrove Gardens     EH4 8DA
Pinkhill     EH12 7BA
Pinkhill Park     EH12 7FA
Pipe Lane     EH15 1BR
Pipe Street     EH15 1BS
Pirniefield Bank     EH6 7QH
Pirniefield Gardens     EH6 7QA
Pirniefield Grove     EH6 7QB
Pirniefield Place     EH6 7PL
Pirniefield Terrace     EH6 7PW
Pirrie Street     EH6 5HU
Pitcairn Grove     EH10 5DW
Pitlochry Place     EH7 5SS
Pitsligo Road     EH10 4RY
Pitt Street     EH6 4BU
Pittville Street     EH15 2BX
Pittville Street Lane     EH15 2BU
Pleasance     EH8 9RQ
Plewlands Avenue     EH10 5JY
Plewlands Gardens     EH10 5JP
Plewlands Terrace     EH10 5JU
Pleydell Place     EH16 6DA
Pollard Glebe     EH11 3LF
Polwarth Crescent     EH11 1HL
Polwarth Gardens     EH11 1JS
Polwarth Grove     EH11 1LY
Polwarth Park     EH11 1LE
Polwarth Place     EH11 1LG
Polwarth Terrace     EH11 1LU
Ponton Street     EH3 9QQ
Poplar Lane     EH6 7HD
Port Hamilton     EH3 8JL
Porters Walk     EH3 9GJ
Portgower Place     EH4 1HQ
Portland Gardens     EH6 6NA
Portland Place     EH6 6LA
Portland Row     EH6 6NH
Portland Street     EH6 4AY
Portland Terrace     EH6 6JZ
Portmore Drive     EH16 6FN
Portobello High Street     EH15 1AF
Portobello Road     EH8 7AY
Portsburgh Square     EH1 2JB
Potterrow     EH8 9BL
Powderhall Brae     EH7 4GD
Powderhall Rigg     EH7 4GA
Powderhall Road     EH7 4GB
Prestonfield Avenue     EH16 5EB
Prestonfield Bank     EH16 5HD
Prestonfield Crescent     EH16 5EN
Prestonfield Gardens     EH16 5EA
Prestonfield Road     EH16 5EL
Prestonfield Terrace     EH16 5EE
Priestfield Avenue     EH16 5JJ
Priestfield Crescent     EH16 5JG
Priestfield Gardens     EH16 5JN
Priestfield Grove     EH16 5HZ
Priestfield Road     EH16 5HH
Priestfield Road North     EH16 5HS
Priesthill Place     EH16 6GZ
Priesthill Street     EH16 6GY
Primrose Bank Road     EH5 3JE
Primrose Street     EH6 8DJ
Primrose Terrace     EH11 1PD
Prince Regent Street     EH6 4AP
Princes Street     EH2 2AN
Promenade     EH15 1HH
Promenade Terrace     EH15 1DT
Prospect Bank Crescent     EH6 7NP
Prospect Bank Gardens     EH6 7PA
Prospect Bank Grove     EH6 7NU
Prospect Bank Place     EH6 7PT
Prospect Bank Road     EH6 7NR
Prospect Bank Terrace     EH6 7PU
Quality Street     EH4 5BB
Quality Street Lane     EH4 5BU
Quarry Close     EH8 9XG
Quarrybank     EH14 2TQ
Quarrybank Close     EH14 2TT
Quarrybank Court     EH14 2TS
Quarrybank End     EH14 2TU
Quarryview     EH14 2TL
Quayside Mills     EH6 6EX
Quayside Street     EH6 6EJ
Queen Charlotte Lane     EH6 6AY
Queen Charlotte Street     EH6 6AT
Queen Margaret Close     EH10 7EE
Queen Street     EH2 1JE
Queen's Avenue     EH4 2DF
Queen's Avenue South     EH4 2BU
Queen's Bay Crescent     EH15 2NA
Queen's Crescent     EH9 2AZ
Queen's Drive     EH8 8HG
Queen's Gardens     EH4 2DA
Queen's Park Avenue     EH8 7EA
Queen's Park Court     EH8 7DX
Queen's Road     EH4 2BY
Queen's Walk     EH16 4EA
Queensferry Road     EH4 2BG
Queensferry Street     EH2 4PA
Queensferry Street Lane     EH2 4PF
Queensferry Terrace     EH4 3EG
Quilts Wynd     EH6 5RZ
Rackstraw Place     EH16 4JU
Raeburn Mews     EH4 1RG
Raeburn Place     EH4 1HG
Raeburn Street     EH4 1HY
Rae's Court     EH16 6QS
Ramsay Garden     EH1 2NA
Ramsay Place     EH15 1JA
Randall Place     EH4 4FE
Randolph Cliff     EH3 7TZ
Randolph Crescent     EH3 7TH
Randolph Lane     EH3 7TD
Randolph Place     EH3 7TA
Rankeillor Street     EH8 9HY
Rankin Avenue     EH9 3DB
Rankin Drive     EH9 3AT
Rankin Road     EH9 3AW
Rannoch Grove     EH4 7EH
Rannoch Place     EH4 7HH
Rannoch Road     EH4 7EG
Rannoch Terrace     EH4 7ER
Ransome Gardens     EH4 7ET
Ratcliffe Terrace     EH9 1SS
Rathbone Place     EH15 1TT
Rattray Crescent     EH10 5TT
Rattray Drive     EH10 5TH
Rattray Grove     EH10 5TL
Rattray Loan     EH10 5TQ
Rattray Way     EH10 5TU
Ravelston Dykes     EH12 6EY
Ravelston Dykes Lane     EH4 3NY
Ravelston Dykes Road     EH4 3NT
Ravelston Dykes, Ravelston Court     EH12 6HQ
Ravelston Garden     EH4 3LD
Ravelston House Grove     EH4 3LT
Ravelston House Loan     EH4 3LY
Ravelston House Park     EH4 3LS
Ravelston House Park, East Court     EH4 3LZ
Ravelston House Park, West Court     EH4 3NP
Ravelston House Road     EH4 3LN
Ravelston Park     EH4 3DX
Ravelston Place     EH4 3DT
Ravelston Rise     EH4 3LH
Ravelston Terrace     EH4 3EF
Ravenscroft Gardens     EH17 8RP
Ravenscroft Place     EH17 8QU
Ravenscroft Street     EH17 8QJ
Ravenswood Avenue     EH16 5SF
